"No.","Time","Source","Destination","Protocol","Length","Info"
"487","101.267301","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"490","101.297378","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"492","101.343258","5.42.173.252","192.168.2.107","UDP","331","26515  >  61165 Len=289"
"496","101.602311","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"497","101.604304","5.42.173.252","192.168.2.107","UDP","739","26515  >  61165 Len=697"
"501","101.861364","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"502","101.862094","5.42.173.252","192.168.2.107","UDP","276","26515  >  61165 Len=234"
"505","102.120327","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"506","102.120783","5.42.173.252","192.168.2.107","UDP","193","26515  >  61165 Len=151"
"509","102.378324","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"510","102.379178","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"514","102.638330","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"515","102.639325","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"522","102.898277","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"523","102.898788","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"526","103.158344","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"527","103.159287","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"530","103.417350","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"531","103.418344","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"534","103.677637","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"535","103.677765","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"539","103.936631","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"540","103.937205","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"543","104.196092","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"544","104.196660","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"547","104.457371","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"548","104.458095","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"551","104.716480","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"552","104.718372","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"555","104.975191","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"556","104.975916","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"559","105.235354","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"560","105.236359","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"562","105.495513","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"563","105.496515","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"566","105.755401","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"567","105.756115","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"572","106.016406","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"573","106.017660","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"579","106.274266","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"580","106.274995","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"585","106.533442","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"586","106.533568","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"589","106.791614","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"590","106.792425","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"595","107.052430","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"596","107.052431","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"601","107.310499","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"602","107.311210","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"606","107.568681","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"607","107.571868","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"610","107.827846","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"611","107.827976","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"614","108.086575","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"615","108.087267","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"618","108.346185","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"619","108.346695","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"622","108.604918","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"623","108.606353","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"628","108.863406","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"629","108.864325","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"636","109.123157","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"637","109.123535","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"639","109.381483","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"640","109.381483","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"644","109.639142","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"645","109.640118","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"649","109.899496","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"650","109.900099","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"654","110.158500","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"655","110.159498","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"660","110.417508","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"661","110.417509","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"664","110.675511","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"665","110.675512","5.42.173.252","192.168.2.107","UDP","193","26515  >  61165 Len=151"
"670","110.934270","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"671","110.935513","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"676","111.194695","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"677","111.195920","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"680","111.454534","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"681","111.454535","5.42.173.252","192.168.2.107","UDP","193","26515  >  61165 Len=151"
"684","111.712314","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"685","111.713032","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"689","111.972917","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"690","111.972918","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"692","112.230215","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"693","112.230887","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"696","112.491110","5.42.173.252","192.168.2.107","UDP","76","26515  >  61165 Len=34"
"697","112.491258","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"699","112.569467","5.42.173.252","192.168.2.107","UDP","1270","26515  >  61165 Len=1228"
"700","112.584342","5.42.173.252","192.168.2.107","UDP","1261","26515  >  61165 Len=1219"
"701","112.599473","5.42.173.252","192.168.2.107","UDP","1261","26515  >  61165 Len=1219"
"703","112.614483","5.42.173.252","192.168.2.107","UDP","1261","26515  >  61165 Len=1219"
"705","112.629562","5.42.173.252","192.168.2.107","UDP","1259","26515  >  61165 Len=1217"
"707","112.644554","5.42.173.252","192.168.2.107","UDP","1272","26515  >  61165 Len=1230"
"709","112.660366","5.42.173.252","192.168.2.107","UDP","1272","26515  >  61165 Len=1230"
"710","112.675685","5.42.173.252","192.168.2.107","UDP","1261","26515  >  61165 Len=1219"
"711","112.690558","5.42.173.252","192.168.2.107","UDP","1268","26515  >  61165 Len=1226"
"712","112.706559","5.42.173.252","192.168.2.107","UDP","1263","26515  >  61165 Len=1221"
"713","112.720958","5.42.173.252","192.168.2.107","UDP","1259","26515  >  61165 Len=1217"
"714","112.736336","5.42.173.252","192.168.2.107","UDP","1266","26515  >  61165 Len=1224"
"715","112.751561","5.42.173.252","192.168.2.107","UDP","659","26515  >  61165 Len=617"
"716","112.765558","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"717","112.780562","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"718","112.796505","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"719","112.810563","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"720","112.826564","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"721","112.841563","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"723","112.856565","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"726","112.871562","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"727","112.887570","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"728","112.902564","5.42.173.252","192.168.2.107","UDP","165","26515  >  61165 Len=123"
"729","112.917563","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"730","112.932565","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"731","112.948564","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"732","112.964567","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"733","112.979568","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"735","112.994218","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"736","113.008695","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"737","113.025566","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"738","113.040566","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"739","113.055567","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
