"No.","Time","Source","Destination","Protocol","Length","Info"
"191","38.116740","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"193","38.167221","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"194","38.183516","192.168.2.107","5.42.169.125","UDP","89","51791  >  26508 Len=47"
"197","38.216926","192.168.2.107","5.42.169.125","UDP","110","51791  >  26508 Len=68"
"198","38.277839","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"204","38.528787","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"205","38.529045","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"210","38.778199","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"216","39.031744","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"217","39.033054","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"220","39.281669","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"223","39.531593","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"224","39.531796","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"227","39.782375","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"228","39.782553","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"231","40.032394","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"232","40.032623","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"233","40.283889","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"234","40.284218","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"247","40.533916","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"248","40.534229","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"255","40.784004","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"256","40.784254","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"259","41.034031","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"260","41.034341","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"265","41.284064","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"266","41.284301","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"271","41.534437","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"272","41.534674","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"276","41.784483","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"277","41.784702","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"280","42.034518","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"281","42.034729","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"285","42.285236","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"286","42.285460","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"290","42.534803","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"294","42.784534","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"295","42.784723","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"298","43.034586","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"299","43.034805","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"303","43.284623","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"304","43.284854","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"310","43.534976","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"315","43.784891","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
"321","44.035315","192.168.2.107","5.42.169.125","UDP","76","51791  >  26508 Len=34"
"322","44.035558","192.168.2.107","5.42.169.125","UDP","109","51791  >  26508 Len=67"
